(-0.0902972,0.124403) (0,0); (-0.0961767,0.120033) (0,0); (-0.102892,0.114684) (0,0); (-0.107307,0.110853) (0,0)
(-0.109413,0.108936) (0,0); (-0.11289,0.105548) (0,0); (-0.11655,0.101622) (0,0); (-0.118685,0.0989918) (0,0)
(-0.119601,0.0977416) (0,0); (-0.120889,0.0956675) (0,0); (-0.121783,0.0935256) (0,0); (-0.121866,0.0923163) (0,0)
(-0.121714,0.0918263) (0,0); (-0.12104,0.091198) (0,0); (-0.119458,0.0909216) (0,0); (-0.117709,0.0911263) (0,0)
(-0.116604,0.0913753) (0,0); (-0.114165,0.0920702) (0,0); (-0.110333,0.0933568) (0,0); (-0.106899,0.0946342) (0,0)
(-0.104905,0.0953852) (0,0); (-0.100843,0.0969614) (0,0); (-0.0949594,0.0991924) (0,0); (-0.0900026,0.101036) (0,0)
(-0.0872164,0.10202) (0,0); (-0.0817002,0.103916) (0,0); (-0.074002,0.106315) (0,0); (-0.0677176,0.108096) (0,0)
(-0.064253,0.108978) (0,0); (-0.0575114,0.110554) (0,0); (-0.048337,0.112299) (0,0); (-0.0410154,0.113398) (0,0)
(-0.0370397,0.113861) (0,0); (-0.0294094,0.114537) (0,0); (-0.0192425,0.114927) (0,0); (-0.0112881,0.114849) (0,0)
(-0.0070275,0.114651) (0,0); (0.00104535,0.114005) (0,0); (0.0115902,0.112572) (0,0); (0.0196816,0.11102) (0,0)
(0.0239576,0.110026) (0,0); (0.0319538,0.107849) (0,0); (0.0421879,0.104404) (0,0); (0.0498795,0.1013) (0,0)
(0.053886,0.0994886) (0,0); (0.0612693,0.0957866) (0,0); (0.0705033,0.0904094) (0,0); (0.0772748,0.0858689) (0,0)
(0.0807369,0.0833156) (0,0); (0.0870006,0.0782868) (0,0); (0.0946148,0.0713145) (0,0); (0.100023,0.0656555) (0,0)
(0.102728,0.0625535) (0,0); (0.107494,0.0565444) (0,0); (0.11303,0.0484435) (0,0); (0.116751,0.0420349) (0,0)
(0.118532,0.0385803) (0,0); (0.12151,0.0319917) (0,0); (0.124641,0.0233055) (0,0); (0.126462,0.016579) (0,0)
(0.127221,0.0130017) (0,0); (0.128252,0.00627089) (0,0); (0.128823,-0.00243366) (0,0); (0.128667,-0.00904608) (0,0)
(-0.150495,0.207338) (0,0); (-0.160294,0.200055) (0,0); (-0.171487,0.191139) (0,0); (-0.178844,0.184755) (0,0)
(-0.182355,0.181561) (0,0); (-0.18815,0.175914) (0,0); (-0.194251,0.16937) (0,0); (-0.197808,0.164986) (0,0)
(-0.199335,0.162903) (0,0); (-0.201481,0.159446) (0,0); (-0.202972,0.155876) (0,0); (-0.203111,0.15386) (0,0)
(-0.202856,0.153044) (0,0); (-0.201733,0.151997) (0,0); (-0.199097,0.151536) (0,0); (-0.196181,0.151877) (0,0)
(-0.19434,0.152292) (0,0); (-0.190275,0.15345) (0,0); (-0.183888,0.155595) (0,0); (-0.178164,0.157724) (0,0)
(-0.174842,0.158975) (0,0); (-0.168072,0.161602) (0,0); (-0.158266,0.165321) (0,0); (-0.150004,0.168393) (0,0)
(-0.145361,0.170034) (0,0); (-0.136167,0.173194) (0,0); (-0.123337,0.177192) (0,0); (-0.112863,0.18016) (0,0)
(-0.107088,0.181631) (0,0); (-0.0958523,0.184257) (0,0); (-0.0805617,0.187165) (0,0); (-0.0683589,0.188996) (0,0)
(-0.0617329,0.189769) (0,0); (-0.0490157,0.190895) (0,0); (-0.0320709,0.191544) (0,0); (-0.0188134,0.191415) (0,0)
(-0.0117125,0.191085) (0,0); (0.00174226,0.190008) (0,0); (0.0193171,0.187619) (0,0); (0.0328026,0.185034) (0,0)
(0.0399293,0.183376) (0,0); (0.0532563,0.179748) (0,0); (0.0703131,0.174006) (0,0); (0.0831324,0.168833) (0,0)
(0.0898101,0.165814) (0,0); (0.102115,0.159644) (0,0); (0.117505,0.150682) (0,0); (0.128791,0.143115) (0,0)
(0.134561,0.138859) (0,0); (0.145001,0.130478) (0,0); (0.157691,0.118858) (0,0); (0.166705,0.109426) (0,0)
(0.171213,0.104256) (0,0); (0.179156,0.0942406) (0,0); (0.188384,0.0807392) (0,0); (0.194585,0.0700581) (0,0)
(0.197553,0.0643004) (0,0); (0.202516,0.0533195) (0,0); (0.207734,0.0388425) (0,0); (0.210769,0.0276317) (0,0)
(0.212035,0.0216694) (0,0); (0.213754,0.0104515) (0,0); (0.214705,-0.00405611) (0,0); (0.214445,-0.0150768) (0,0)
(-0.210693,0.290273) (0,0); (-0.224412,0.280077) (0,0); (-0.240081,0.267595) (0,0); (-0.250382,0.258657) (0,0)
(-0.255297,0.254185) (0,0); (-0.26341,0.24628) (0,0); (-0.271951,0.237118) (0,0); (-0.276931,0.230981) (0,0)
(-0.279069,0.228064) (0,0); (-0.282074,0.223224) (0,0); (-0.284161,0.218226) (0,0); (-0.284355,0.215405) (0,0)
(-0.283999,0.214261) (0,0); (-0.282426,0.212795) (0,0); (-0.278736,0.21215) (0,0); (-0.274653,0.212628) (0,0)
(-0.272076,0.213209) (0,0); (-0.266384,0.21483) (0,0); (-0.257443,0.217833) (0,0); (-0.24943,0.220813) (0,0)
(-0.244779,0.222565) (0,0); (-0.2353,0.226243) (0,0); (-0.221572,0.231449) (0,0); (-0.210006,0.23575) (0,0)
(-0.203505,0.238047) (0,0); (-0.190634,0.242472) (0,0); (-0.172671,0.248069) (0,0); (-0.158008,0.252223) (0,0)
(-0.149924,0.254283) (0,0); (-0.134193,0.25796) (0,0); (-0.112786,0.262031) (0,0); (-0.0957025,0.264595) (0,0)
(-0.0864261,0.265677) (0,0); (-0.068622,0.267252) (0,0); (-0.0448992,0.268162) (0,0); (-0.0263388,0.267981) (0,0)
(-0.0163975,0.267519) (0,0); (0.00243916,0.266012) (0,0); (0.0270439,0.262667) (0,0); (0.0459237,0.259047) (0,0)
(0.0559011,0.256727) (0,0); (0.0745588,0.251648) (0,0); (0.0984383,0.243609) (0,0); (0.116385,0.236366) (0,0)
(0.125734,0.23214) (0,0); (0.142962,0.223502) (0,0); (0.164508,0.210955) (0,0); (0.180308,0.200361) (0,0)
(0.188386,0.194403) (0,0); (0.203001,0.182669) (0,0); (0.220768,0.166401) (0,0); (0.233387,0.153196) (0,0)
(0.239698,0.145958) (0,0); (0.250819,0.131937) (0,0); (0.263737,0.113035) (0,0); (0.272418,0.0980814) (0,0)
(0.276574,0.0900206) (0,0); (0.283523,0.0746474) (0,0); (0.290828,0.0543795) (0,0); (0.295077,0.0386843) (0,0)
(0.296848,0.0303372) (0,0); (0.299255,0.0146321) (0,0); (0.300587,-0.00567855) (0,0); (0.300223,-0.0211075) (0,0)
(0.0411859,0.124647) (0,0); (0.0347364,0.126427) (0,0); (0.0261244,0.127959) (0,0); (0.0193728,0.128528) (0,0)
(0.0157545,0.128621) (0,0); (0.00889212,0.128391) (0,0); (-7.34588e-05,0.127356) (0,0); (-0.00695436,0.125998) (0,0)
(-0.0105886,0.1251) (0,0); (-0.0173825,0.123054) (0,0); (-0.0260673,0.119812) (0,0); (-0.0325863,0.116887) (0,0)
(-0.035979,0.115217) (0,0); (-0.0422221,0.11182) (0,0); (-0.0500237,0.107076) (0,0); (-0.0557397,0.1032) (0,0)
(-0.0586751,0.101114) (0,0); (-0.0639747,0.0970509) (0,0); (-0.0704146,0.0917228) (0,0); (-0.0749867,0.0876185) (0,0)
(-0.0772796,0.0854877) (0,0); (-0.0813248,0.0815316) (0,0); (-0.08606,0.0766713) (0,0); (-0.0892734,0.0731771) (0,0)
(-0.0908313,0.0714507) (0,0); (-0.0934706,0.0684165) (0,0); (-0.0963436,0.065025) (0,0); (-0.0981083,0.0628605) (0,0)
(-0.0988918,0.0618961) (0,0); (-0.100069,0.0604138) (0,0); (-0.101029,0.0591979) (0,0); (-0.101324,0.0588164) (0,0)
(-0.101324,0.0588164) (0,0); (-0.101029,0.0591979) (0,0); (-0.100069,0.0604138) (0,0); (-0.0988918,0.0618961) (0,0)
(-0.0981083,0.0628605) (0,0); (-0.0963436,0.065025) (0,0); (-0.0934706,0.0684165) (0,0); (-0.0908313,0.0714507) (0,0)
(-0.0892734,0.0731771) (0,0); (-0.08606,0.0766713) (0,0); (-0.0813248,0.0815316) (0,0); (-0.0772796,0.0854877) (0,0)
(-0.0749867,0.0876185) (0,0); (-0.0704146,0.0917228) (0,0); (-0.0639747,0.0970509) (0,0); (-0.0586751,0.101114) (0,0)
(-0.0557397,0.1032) (0,0); (-0.0500237,0.107076) (0,0); (-0.0422221,0.11182) (0,0); (-0.035979,0.115217) (0,0)
(-0.0325863,0.116887) (0,0); (-0.0260673,0.119812) (0,0); (-0.0173825,0.123054) (0,0); (-0.0105886,0.1251) (0,0)
(-0.00695436,0.125998) (0,0); (-7.34588e-05,0.127356) (0,0); (0.00889212,0.128391) (0,0); (0.0157545,0.128621) (0,0)
(0.0193728,0.128528) (0,0); (0.0261244,0.127959) (0,0); (0.0347364,0.126427) (0,0); (0.0411859,0.124647) (0,0)
(0.0686432,0.207745) (0,0); (0.0578939,0.210711) (0,0); (0.0435407,0.213265) (0,0); (0.032288,0.214213) (0,0)
(0.0262575,0.214368) (0,0); (0.0148202,0.213985) (0,0); (-0.000122431,0.212259) (0,0); (-0.0115906,0.209997) (0,0)
(-0.0176476,0.208499) (0,0); (-0.0289708,0.205091) (0,0); (-0.0434455,0.199687) (0,0); (-0.0543105,0.194812) (0,0)
(-0.0599651,0.192028) (0,0); (-0.0703702,0.186367) (0,0); (-0.0833729,0.178461) (0,0); (-0.0928996,0.172001) (0,0)
