(-0.000746204,0.095567) (0,0); (-0.00538141,0.0954905) (0,0); (-0.0109779,0.0952273) (0,0); (-0.0149214,0.0949004) (0,0)
(-0.0168955,0.0946958) (0,0); (-0.0203644,0.0942417) (0,0); (-0.0244179,0.0935567) (0,0); (-0.0271626,0.0929609) (0,0)
(-0.0284959,0.0926288) (0,0); (-0.0307546,0.0919692) (0,0); (-0.0332301,0.0910662) (0,0); (-0.0347662,0.0903417) (0,0)
(-0.0354603,0.08995) (0,0); (-0.0365247,0.0891995) (0,0); (-0.0374687,0.0882017) (0,0); (-0.0378514,0.0874225) (0,0)
(-0.037908,0.0869288) (0,0); (-0.037865,0.0861303) (0,0); (-0.0374285,0.085061) (0,0); (-0.0368024,0.0842202) (0,0)
(-0.0363787,0.0837613) (0,0); (-0.0354005,0.0828835) (0,0); (-0.0338231,0.0816868) (0,0); (-0.0323833,0.0807303) (0,0)
(-0.0315514,0.0802009) (0,0); (-0.0298514,0.0791762) (0,0); (-0.0274269,0.0777574) (0,0); (-0.0254104,0.0766073) (0,0)
(-0.0242977,0.0759674) (0,0); (-0.0221204,0.0747198) (0,0); (-0.0191692,0.0729874) (0,0); (-0.0168225,0.0715794) (0,0)
(-0.0155588,0.0707985) (0,0); (-0.0131463,0.0692768) (0,0); (-0.00997473,0.06718) (0,0); (-0.00752558,0.0654873) (0,0)
(-0.00622795,0.0645561) (0,0); (-0.0037938,0.0627519) (0,0); (-0.000664088,0.0602972) (0,0); (0.00169927,0.0583386) (0,0)
(0.0029357,0.0572716) (0,0); (0.00522236,0.055221) (0,0); (0.00810909,0.0524706) (0,0); (0.0102475,0.0503052) (0,0)
(0.0113539,0.0491371) (0,0); (0.0133743,0.0469122) (0,0); (0.0158815,0.0439703) (0,0); (0.0177045,0.0416856) (0,0)
(0.0186509,0.0405014) (0,0); (0.0203331,0.0381986) (0,0); (0.0223892,0.0351936) (0,0); (0.0238587,0.0328901) (0,0)
(0.0246029,0.0316698) (0,0); (0.0259273,0.0293864) (0,0); (0.0275152,0.0264459) (0,0); (0.0286249,0.0242218) (0,0)
(0.0291796,0.0230539) (0,0); (0.0301501,0.0208882) (0,0); (0.0312865,0.0181361) (0,0); (0.032058,0.0160832) (0,0)
(0.0324369,0.0150147) (0,0); (0.0330839,0.0130526) (0,0); (0.0338158,0.0105942) (0,0); (0.0342907,0.00878786) (0,0)
(-0.00124367,0.159278) (0,0); (-0.00896901,0.159151) (0,0); (-0.0182964,0.158712) (0,0); (-0.0248691,0.158167) (0,0)
(-0.0281591,0.157826) (0,0); (-0.0339406,0.157069) (0,0); (-0.0406965,0.155928) (0,0); (-0.045271,0.154935) (0,0)
(-0.0474931,0.154381) (0,0); (-0.0512576,0.153282) (0,0); (-0.0553836,0.151777) (0,0); (-0.0579437,0.15057) (0,0)
(-0.0591005,0.149917) (0,0); (-0.0608744,0.148666) (0,0); (-0.0624478,0.147003) (0,0); (-0.0630857,0.145704) (0,0)
(-0.06318,0.144881) (0,0); (-0.0631084,0.143551) (0,0); (-0.0623809,0.141768) (0,0); (-0.0613373,0.140367) (0,0)
(-0.0606312,0.139602) (0,0); (-0.0590008,0.138139) (0,0); (-0.0563718,0.136145) (0,0); (-0.0539722,0.13455) (0,0)
(-0.0525857,0.133668) (0,0); (-0.0497524,0.13196) (0,0); (-0.0457115,0.129596) (0,0); (-0.0423506,0.127679) (0,0)
(-0.0404962,0.126612) (0,0); (-0.0368674,0.124533) (0,0); (-0.0319487,0.121646) (0,0); (-0.0280376,0.119299) (0,0)
(-0.0259313,0.117997) (0,0); (-0.0219105,0.115461) (0,0); (-0.0166246,0.111967) (0,0); (-0.0125426,0.109146) (0,0)
(-0.0103799,0.107594) (0,0); (-0.006323,0.104587) (0,0); (-0.00110681,0.100495) (0,0); (0.00283212,0.097231) (0,0)
(0.00489284,0.0954526) (0,0); (0.00870393,0.0920349) (0,0); (0.0135151,0.087451) (0,0); (0.0170792,0.0838419) (0,0)
(0.0189231,0.0818952) (0,0); (0.0222905,0.078187) (0,0); (0.0264692,0.0732838) (0,0); (0.0295075,0.0694761) (0,0)
(0.0310849,0.0675024) (0,0); (0.0338886,0.0636644) (0,0); (0.0373153,0.058656) (0,0); (0.0397645,0.0548168) (0,0)
(0.0410049,0.0527831) (0,0); (0.0432121,0.0489773) (0,0); (0.0458586,0.0440764) (0,0); (0.0477081,0.0403696) (0,0)
(0.0486327,0.0384231) (0,0); (0.0502501,0.0348136) (0,0); (0.0521442,0.0302268) (0,0); (0.0534301,0.0268053) (0,0)
(0.0540615,0.0250246) (0,0); (0.0551399,0.0217544) (0,0); (0.0563597,0.017657) (0,0); (0.0571512,0.0146464) (0,0)
(-0.00174114,0.22299) (0,0); (-0.0125566,0.222811) (0,0); (-0.025615,0.222197) (0,0); (-0.0348167,0.221434) (0,0)
(-0.0394228,0.220957) (0,0); (-0.0475169,0.219897) (0,0); (-0.0569751,0.218299) (0,0); (-0.0633794,0.216909) (0,0)
(-0.0664904,0.216134) (0,0); (-0.0717607,0.214595) (0,0); (-0.077537,0.212488) (0,0); (-0.0811212,0.210797) (0,0)
(-0.0827407,0.209883) (0,0); (-0.0852242,0.208132) (0,0); (-0.0874269,0.205804) (0,0); (-0.08832,0.203986) (0,0)
(-0.088452,0.202834) (0,0); (-0.0883517,0.200971) (0,0); (-0.0873332,0.198476) (0,0); (-0.0858723,0.196514) (0,0)
(-0.0848836,0.195443) (0,0); (-0.0826011,0.193395) (0,0); (-0.0789205,0.190603) (0,0); (-0.0755611,0.188371) (0,0)
(-0.07362,0.187135) (0,0); (-0.0696533,0.184744) (0,0); (-0.0639961,0.181434) (0,0); (-0.0592908,0.17875) (0,0)
(-0.0566946,0.177257) (0,0); (-0.0516143,0.174346) (0,0); (-0.0447281,0.170304) (0,0); (-0.0392526,0.167019) (0,0)
(-0.0363039,0.165196) (0,0); (-0.0306747,0.161646) (0,0); (-0.0232744,0.156753) (0,0); (-0.0175597,0.152804) (0,0)
(-0.0145319,0.150631) (0,0); (-0.0088522,0.146421) (0,0); (-0.00154954,0.140693) (0,0); (0.00396497,0.136123) (0,0)
(0.00684998,0.133634) (0,0); (0.0121855,0.128849) (0,0); (0.0189212,0.122431) (0,0); (0.0239108,0.117379) (0,0)
(0.0264923,0.114653) (0,0); (0.0312066,0.109462) (0,0); (0.0370569,0.102597) (0,0); (0.0413105,0.0972665) (0,0)
(0.0435188,0.0945033) (0,0); (0.047444,0.0891301) (0,0); (0.0522414,0.0821184) (0,0); (0.0556703,0.0767435) (0,0)
(0.0574068,0.0738963) (0,0); (0.060497,0.0685682) (0,0); (0.0642021,0.061707) (0,0); (0.0667914,0.0565175) (0,0)
(0.0680858,0.0537924) (0,0); (0.0703502,0.048739) (0,0); (0.0730018,0.0423175) (0,0); (0.0748021,0.0375274) (0,0)
(0.0756861,0.0350344) (0,0); (0.0771959,0.0304561) (0,0); (0.0789036,0.0247198) (0,0); (0.0800116,0.020505) (0,0)
(0.0249338,0.0606911) (0,0); (0.0218006,0.0619584) (0,0); (0.0175964,0.0635188) (0,0); (0.0142851,0.0646433) (0,0)
(0.012496,0.0652135) (0,0); (0.00908392,0.066232) (0,0); (0.00456198,0.0674498) (0,0); (0.00104235,0.0682979) (0,0)
(-0.000840017,0.068718) (0,0); (-0.00439873,0.0694471) (0,0); (-0.00903894,0.070282) (0,0); (-0.0125932,0.0708326) (0,0)
(-0.0144697,0.0710958) (0,0); (-0.0179764,0.0715302) (0,0); (-0.0224537,0.0719931) (0,0); (-0.0258102,0.0722683) (0,0)
(-0.0275282,0.0723303) (0,0); (-0.0307385,0.0725106) (0,0); (-0.0347314,0.0726681) (0,0); (-0.0376417,0.0727292) (0,0)
(-0.0391197,0.072748) (0,0); (-0.0417757,0.0727497) (0,0); (-0.0449442,0.0727144) (0,0); (-0.0471452,0.0726586) (0,0)
(-0.0482213,0.0726262) (0,0); (-0.0500737,0.0725534) (0,0); (-0.0521146,0.0724595) (0,0); (-0.0533906,0.0723884) (0,0)
(-0.0539582,0.0723563) (0,0); (-0.0548205,0.0723026) (0,0); (-0.0555256,0.0722575) (0,0); (-0.0557441,0.0722422) (0,0)
(-0.0557441,0.0722422) (0,0); (-0.0555256,0.0722575) (0,0); (-0.0548205,0.0723026) (0,0); (-0.0539582,0.0723563) (0,0)
(-0.0533906,0.0723884) (0,0); (-0.0521146,0.0724595) (0,0); (-0.0500737,0.0725534) (0,0); (-0.0482213,0.0726262) (0,0)
(-0.0471452,0.0726586) (0,0); (-0.0449442,0.0727144) (0,0); (-0.0417757,0.0727497) (0,0); (-0.0391197,0.072748) (0,0)
(-0.0376417,0.0727292) (0,0); (-0.0347314,0.0726681) (0,0); (-0.0307385,0.0725106) (0,0); (-0.0275282,0.0723303) (0,0)
(-0.0258102,0.0722683) (0,0); (-0.0224537,0.0719931) (0,0); (-0.0179764,0.0715302) (0,0); (-0.0144697,0.0710958) (0,0)
