(0.376341,-0.108278) (0,0); (0.380471,-0.0940825) (0,0); (0.38564,-0.0756) (0,0); (0.389434,-0.0614636) (0,0)
(0.391398,-0.0539464) (0,0); (0.394971,-0.0398651) (0,0); (0.399421,-0.0215619) (0,0); (0.402669,-0.00758637) (0,0)
(0.404344,-0.000162866) (0,0); (0.40738,0.0137274) (0,0); (0.411139,0.0317528) (0,0); (0.413865,0.0454935) (0,0)
(0.415265,0.0527845) (0,0); (0.417791,0.0664118) (0,0); (0.420897,0.0840675) (0,0); (0.423132,0.0975045) (0,0)
(0.424275,0.104627) (0,0); (0.426324,0.117924) (0,0); (0.428824,0.135125) (0,0); (0.430606,0.148194) (0,0)
(0.431511,0.155114) (0,0); (0.433123,0.168018) (0,0); (0.435068,0.184683) (0,0); (0.436438,0.197323) (0,0)
(0.437128,0.204008) (0,0); (0.438345,0.216459) (0,0); (0.439792,0.232508) (0,0); (0.440793,0.244657) (0,0)
(0.441292,0.251071) (0,0); (0.442158,0.263007) (0,0); (0.443169,0.278344) (0,0); (0.443852,0.289917) (0,0)
(0.444193,0.296002) (0,0); (0.444768,0.307365) (0,0); (0.445417,0.321977) (0,0); (0.445837,0.333012) (0,0)
(0.446039,0.338824) (0,0); (0.446369,0.349613) (0,0); (0.446719,0.363438) (0,0); (0.446926,0.373839) (0,0)
(0.447018,0.379308) (0,0); (0.447152,0.389437) (0,0); (0.447262,0.40237) (0,0); (0.447297,0.412067) (0,0)
(0.447301,0.417152) (0,0); (0.44728,0.426546) (0,0); (0.447203,0.438489) (0,0); (0.447108,0.447403) (0,0)
(0.447047,0.452062) (0,0); (0.446911,0.46064) (0,0); (0.446701,0.471483) (0,0); (0.446515,0.479526) (0,0)
(0.44641,0.483711) (0,0); (0.4462,0.49138) (0,0); (0.44591,0.500997) (0,0); (0.445676,0.50807) (0,0)
(0.44555,0.511725) (0,0); (0.445307,0.51838) (0,0); (0.444993,0.526628) (0,0); (0.444753,0.532618) (0,0)
(0.444628,0.535684) (0,0); (0.444398,0.541207) (0,0); (0.444117,0.547931) (0,0); (0.443916,0.552715) (0,0)
(0.443818,0.555124) (0,0); (0.443646,0.559391) (0,0); (0.443459,0.564424) (0,0); (0.443345,0.567874) (0,0)
(0.443298,0.569558) (0,0); (0.443232,0.572438) (0,0); (0.443202,0.575614) (0,0); (0.443223,0.5776) (0,0)
(0.443253,0.578492) (0,0); (0.443341,0.57986) (0,0); (0.44353,0.581016) (0,0); (0.443732,0.58142) (0,0)
