(0.293582,2.73794) (0,0); (0.0947319,2.77011) (0,0); (-0.121052,2.82554) (0,0); (-0.252977,2.87833) (0,0)
(-0.308579,2.91238) (0,0); (-0.395842,2.98452) (0,0); (-0.444938,3.10352) (0,0); (-0.432934,3.2138) (0,0)
(-0.345376,3.33284) (0,0); (-0.23093,3.63278) (0,0); (-0.0987434,4.01919) (0,0); (-0.0105622,4.31157) (0,0)
(0.0493231,4.46922) (0,0); (0.163572,4.76464) (0,0); (0.339144,5.1533) (0,0); (0.49403,5.45366) (0,0)
(0.5847,5.61449) (0,0); (0.769515,5.91821) (0,0); (1.03844,6.31524) (0,0); (1.26585,6.62013) (0,0)
(1.39364,6.78146) (0,0); (1.64701,7.08375) (0,0); (1.99864,7.46991) (0,0); (2.28429,7.75957) (0,0)
(2.44039,7.90927) (0,0); (2.74258,8.18408) (0,0); (3.14719,8.52008) (0,0); (3.46521,8.76032) (0,0)
(3.6352,8.87911) (0,0); (3.95751,9.08786) (0,0); (4.3757,9.32048) (0,0); (4.69444,9.46832) (0,0)
(4.86121,9.5331) (0,0); (5.17084,9.63147) (0,0); (5.55937,9.70343) (0,0); (5.84529,9.71537) (0,0)
(5.99108,9.70384) (0,0); (6.25466,9.65082) (0,0); (6.57061,9.51304) (0,0); (6.79136,9.35485) (0,0)
(6.89927,9.25068) (0,0); (7.08557,9.01855) (0,0); (7.28982,8.64313) (0,0); (7.41659,8.29978) (0,0)
(7.47188,8.09793) (0,0); (7.55421,7.68199) (0,0); (7.61432,7.07492) (0,0); (7.62413,6.56028) (0,0)
(7.6153,6.27238) (0,0); (7.57348,5.7009) (0,0); (7.46585,4.91737) (0,0); (7.34266,4.28779) (0,0)
(7.2594,3.95877) (0,0); (7.08215,3.30484) (0,0); (6.77864,2.52405) (0,0); (6.49064,1.98111) (0,0)
(6.3479,1.87643) (0,0); (6.2388,1.63004) (0,0); (6.12099,1.23371) (0,0); (6.04951,0.872586) (0,0)
(6.01035,0.675514) (0,0); (5.94417,0.277256) (0,0); (5.85795,-0.276819) (0,0); (5.79198,-0.727899) (0,0)
(0.293582,2.73794) (0,0); (0.0947319,2.77011) (0,0); (-0.121052,2.82554) (0,0); (-0.252977,2.87833) (0,0)
(-0.308579,2.91238) (0,0); (-0.395842,2.98452) (0,0); (-0.444938,3.10352) (0,0); (-0.432934,3.2138) (0,0)
(-0.345376,3.33284) (0,0); (-0.23093,3.63278) (0,0); (-0.0987434,4.01919) (0,0); (-0.0105622,4.31157) (0,0)
(0.0493231,4.46922) (0,0); (0.163572,4.76464) (0,0); (0.339144,5.1533) (0,0); (0.49403,5.45366) (0,0)
(0.5847,5.61449) (0,0); (0.769515,5.91821) (0,0); (1.03844,6.31524) (0,0); (1.26585,6.62013) (0,0)
(1.39364,6.78146) (0,0); (1.64701,7.08375) (0,0); (1.99864,7.46991) (0,0); (2.28429,7.75957) (0,0)
(2.44039,7.90927) (0,0); (2.74258,8.18408) (0,0); (3.14719,8.52008) (0,0); (3.46521,8.76032) (0,0)
(3.6352,8.87911) (0,0); (3.95751,9.08786) (0,0); (4.3757,9.32048) (0,0); (4.69444,9.46832) (0,0)
(4.86121,9.5331) (0,0); (5.17084,9.63147) (0,0); (5.55937,9.70343) (0,0); (5.84529,9.71537) (0,0)
(5.99108,9.70384) (0,0); (6.25466,9.65082) (0,0); (6.57061,9.51304) (0,0); (6.79136,9.35485) (0,0)
(6.89927,9.25068) (0,0); (7.08557,9.01855) (0,0); (7.28982,8.64313) (0,0); (7.41659,8.29978) (0,0)
(7.47188,8.09793) (0,0); (7.55421,7.68199) (0,0); (7.61432,7.07492) (0,0); (7.62413,6.56028) (0,0)
(7.6153,6.27238) (0,0); (7.57348,5.7009) (0,0); (7.46585,4.91737) (0,0); (7.34266,4.28779) (0,0)
(7.2594,3.95877) (0,0); (7.08215,3.30484) (0,0); (6.77864,2.52405) (0,0); (6.49064,1.98111) (0,0)
(6.3479,1.87643) (0,0); (6.2388,1.63004) (0,0); (6.12099,1.23371) (0,0); (6.04951,0.872586) (0,0)
(6.01035,0.675514) (0,0); (5.94417,0.277256) (0,0); (5.85795,-0.276819) (0,0); (5.79198,-0.727899) (0,0)
(0.293582,2.73794) (0,0); (0.0947319,2.77011) (0,0); (-0.121052,2.82554) (0,0); (-0.252977,2.87833) (0,0)
(-0.308579,2.91238) (0,0); (-0.395842,2.98452) (0,0); (-0.444938,3.10352) (0,0); (-0.432934,3.2138) (0,0)
(-0.345376,3.33284) (0,0); (-0.23093,3.63278) (0,0); (-0.0987434,4.01919) (0,0); (-0.0105622,4.31157) (0,0)
(0.0493231,4.46922) (0,0); (0.163572,4.76464) (0,0); (0.339144,5.1533) (0,0); (0.49403,5.45366) (0,0)
(0.5847,5.61449) (0,0); (0.769515,5.91821) (0,0); (1.03844,6.31524) (0,0); (1.26585,6.62013) (0,0)
(1.39364,6.78146) (0,0); (1.64701,7.08375) (0,0); (1.99864,7.46991) (0,0); (2.28429,7.75957) (0,0)
(2.44039,7.90927) (0,0); (2.74258,8.18408) (0,0); (3.14719,8.52008) (0,0); (3.46521,8.76032) (0,0)
(3.6352,8.87911) (0,0); (3.95751,9.08786) (0,0); (4.3757,9.32048) (0,0); (4.69444,9.46832) (0,0)
(4.86121,9.5331) (0,0); (5.17084,9.63147) (0,0); (5.55937,9.70343) (0,0); (5.84529,9.71537) (0,0)
(5.99108,9.70384) (0,0); (6.25466,9.65082) (0,0); (6.57061,9.51304) (0,0); (6.79136,9.35485) (0,0)
(6.89927,9.25068) (0,0); (7.08557,9.01855) (0,0); (7.28982,8.64313) (0,0); (7.41659,8.29978) (0,0)
(7.47188,8.09793) (0,0); (7.55421,7.68199) (0,0); (7.61432,7.07492) (0,0); (7.62413,6.56028) (0,0)
(7.6153,6.27238) (0,0); (7.57348,5.7009) (0,0); (7.46585,4.91737) (0,0); (7.34266,4.28779) (0,0)
(7.2594,3.95877) (0,0); (7.08215,3.30484) (0,0); (6.77864,2.52405) (0,0); (6.49064,1.98111) (0,0)
(6.3479,1.87643) (0,0); (6.2388,1.63004) (0,0); (6.12099,1.23371) (0,0); (6.04951,0.872586) (0,0)
(6.01035,0.675514) (0,0); (5.94417,0.277256) (0,0); (5.85795,-0.276819) (0,0); (5.79198,-0.727899) (0,0)
(0.293582,2.73794) (0,0); (0.0947319,2.77011) (0,0); (-0.121052,2.82554) (0,0); (-0.252977,2.87833) (0,0)
(-0.308579,2.91238) (0,0); (-0.395842,2.98452) (0,0); (-0.444938,3.10352) (0,0); (-0.432934,3.2138) (0,0)
(-0.345376,3.33284) (0,0); (-0.23093,3.63278) (0,0); (-0.0987434,4.01919) (0,0); (-0.0105622,4.31157) (0,0)
(0.0493231,4.46922) (0,0); (0.163572,4.76464) (0,0); (0.339144,5.1533) (0,0); (0.49403,5.45366) (0,0)
(0.5847,5.61449) (0,0); (0.769515,5.91821) (0,0); (1.03844,6.31524) (0,0); (1.26585,6.62013) (0,0)
(1.39364,6.78146) (0,0); (1.64701,7.08375) (0,0); (1.99864,7.46991) (0,0); (2.28429,7.75957) (0,0)
(2.44039,7.90927) (0,0); (2.74258,8.18408) (0,0); (3.14719,8.52008) (0,0); (3.46521,8.76032) (0,0)
(3.6352,8.87911) (0,0); (3.95751,9.08786) (0,0); (4.3757,9.32048) (0,0); (4.69444,9.46832) (0,0)
(4.86121,9.5331) (0,0); (5.17084,9.63147) (0,0); (5.55937,9.70343) (0,0); (5.84529,9.71537) (0,0)
(5.99108,9.70384) (0,0); (6.25466,9.65082) (0,0); (6.57061,9.51304) (0,0); (6.79136,9.35485) (0,0)
(6.89927,9.25068) (0,0); (7.08557,9.01855) (0,0); (7.28982,8.64313) (0,0); (7.41659,8.29978) (0,0)
(7.47188,8.09793) (0,0); (7.55421,7.68199) (0,0); (7.61432,7.07492) (0,0); (7.62413,6.56028) (0,0)
(7.6153,6.27238) (0,0); (7.57348,5.7009) (0,0); (7.46585,4.91737) (0,0); (7.34266,4.28779) (0,0)
(7.2594,3.95877) (0,0); (7.08215,3.30484) (0,0); (6.77864,2.52405) (0,0); (6.49064,1.98111) (0,0)
(6.3479,1.87643) (0,0); (6.2388,1.63004) (0,0); (6.12099,1.23371) (0,0); (6.04951,0.872586) (0,0)
(6.01035,0.675514) (0,0); (5.94417,0.277256) (0,0); (5.85795,-0.276819) (0,0); (5.79198,-0.727899) (0,0)
(0.293582,2.73794) (0,0); (0.0947319,2.77011) (0,0); (-0.121052,2.82554) (0,0); (-0.252977,2.87833) (0,0)
(-0.308579,2.91238) (0,0); (-0.395842,2.98452) (0,0); (-0.444938,3.10352) (0,0); (-0.432934,3.2138) (0,0)
(-0.345376,3.33284) (0,0); (-0.23093,3.63278) (0,0); (-0.0987434,4.01919) (0,0); (-0.0105622,4.31157) (0,0)
(0.0493231,4.46922) (0,0); (0.163572,4.76464) (0,0); (0.339144,5.1533) (0,0); (0.49403,5.45366) (0,0)
(0.5847,5.61449) (0,0); (0.769515,5.91821) (0,0); (1.03844,6.31524) (0,0); (1.26585,6.62013) (0,0)
(1.39364,6.78146) (0,0); (1.64701,7.08375) (0,0); (1.99864,7.46991) (0,0); (2.28429,7.75957) (0,0)
(2.44039,7.90927) (0,0); (2.74258,8.18408) (0,0); (3.14719,8.52008) (0,0); (3.46521,8.76032) (0,0)
(3.6352,8.87911) (0,0); (3.95751,9.08786) (0,0); (4.3757,9.32048) (0,0); (4.69444,9.46832) (0,0)
(4.86121,9.5331) (0,0); (5.17084,9.63147) (0,0); (5.55937,9.70343) (0,0); (5.84529,9.71537) (0,0)
(5.99108,9.70384) (0,0); (6.25466,9.65082) (0,0); (6.57061,9.51304) (0,0); (6.79136,9.35485) (0,0)
(6.89927,9.25068) (0,0); (7.08557,9.01855) (0,0); (7.28982,8.64313) (0,0); (7.41659,8.29978) (0,0)
(7.47188,8.09793) (0,0); (7.55421,7.68199) (0,0); (7.61432,7.07492) (0,0); (7.62413,6.56028) (0,0)
(7.6153,6.27238) (0,0); (7.57348,5.7009) (0,0); (7.46585,4.91737) (0,0); (7.34266,4.28779) (0,0)
(7.2594,3.95877) (0,0); (7.08215,3.30484) (0,0); (6.77864,2.52405) (0,0); (6.49064,1.98111) (0,0)
(6.3479,1.87643) (0,0); (6.2388,1.63004) (0,0); (6.12099,1.23371) (0,0); (6.04951,0.872586) (0,0)
(6.01035,0.675514) (0,0); (5.94417,0.277256) (0,0); (5.85795,-0.276819) (0,0); (5.79198,-0.727899) (0,0)
(0.293582,2.73794) (0,0); (0.0947319,2.77011) (0,0); (-0.121052,2.82554) (0,0); (-0.252977,2.87833) (0,0)
(-0.308579,2.91238) (0,0); (-0.395842,2.98452) (0,0); (-0.444938,3.10352) (0,0); (-0.432934,3.2138) (0,0)
(-0.345376,3.33284) (0,0); (-0.23093,3.63278) (0,0); (-0.0987434,4.01919) (0,0); (-0.0105622,4.31157) (0,0)
(0.0493231,4.46922) (0,0); (0.163572,4.76464) (0,0); (0.339144,5.1533) (0,0); (0.49403,5.45366) (0,0)
(0.5847,5.61449) (0,0); (0.769515,5.91821) (0,0); (1.03844,6.31524) (0,0); (1.26585,6.62013) (0,0)
(1.39364,6.78146) (0,0); (1.64701,7.08375) (0,0); (1.99864,7.46991) (0,0); (2.28429,7.75957) (0,0)
(2.44039,7.90927) (0,0); (2.74258,8.18408) (0,0); (3.14719,8.52008) (0,0); (3.46521,8.76032) (0,0)
(3.6352,8.87911) (0,0); (3.95751,9.08786) (0,0); (4.3757,9.32048) (0,0); (4.69444,9.46832) (0,0)
(4.86121,9.5331) (0,0); (5.17084,9.63147) (0,0); (5.55937,9.70343) (0,0); (5.84529,9.71537) (0,0)
(5.99108,9.70384) (0,0); (6.25466,9.65082) (0,0); (6.57061,9.51304) (0,0); (6.79136,9.35485) (0,0)
(6.89927,9.25068) (0,0); (7.08557,9.01855) (0,0); (7.28982,8.64313) (0,0); (7.41659,8.29978) (0,0)
(7.47188,8.09793) (0,0); (7.55421,7.68199) (0,0); (7.61432,7.07492) (0,0); (7.62413,6.56028) (0,0)
(7.6153,6.27238) (0,0); (7.57348,5.7009) (0,0); (7.46585,4.91737) (0,0); (7.34266,4.28779) (0,0)
(7.2594,3.95877) (0,0); (7.08215,3.30484) (0,0); (6.77864,2.52405) (0,0); (6.49064,1.98111) (0,0)
(6.3479,1.87643) (0,0); (6.2388,1.63004) (0,0); (6.12099,1.23371) (0,0); (6.04951,0.872586) (0,0)
(6.01035,0.675514) (0,0); (5.94417,0.277256) (0,0); (5.85795,-0.276819) (0,0); (5.79198,-0.727899) (0,0)
(0.328663,0.401548) (0,0); (0.301529,0.429542) (0,0); (0.275647,0.468633) (0,0); (0.263108,0.500561) (0,0)
(0.259663,0.518371) (0,0); (0.256961,0.553977) (0,0); (0.267814,0.602701) (0,0); (0.28715,0.641783) (0,0)
(0.321381,0.674574) (0,0); (0.388937,0.775097) (0,0); (0.472046,0.911848) (0,0); (0.531887,1.02095) (0,0)
(0.565616,1.07893) (0,0); (0.628165,1.18956) (0,0); (0.712104,1.33427) (0,0); (0.778225,1.44545) (0,0)
(0.814124,1.50424) (0,0); (0.882753,1.61429) (0,0); (0.974206,1.75514) (0,0); (1.04577,1.86098) (0,0)
(1.08417,1.91598) (0,0); (1.15701,2.01726) (0,0); (1.25239,2.14297) (0,0); (1.32574,2.23438) (0,0)
(1.36454,2.2806) (0,0); (1.43723,2.3634) (0,0); (1.53028,2.4609) (0,0); (1.60024,2.52757) (0,0)
(1.63661,2.55948) (0,0); (1.70359,2.61331) (0,0); (1.78684,2.66906) (0,0); (1.84749,2.70071) (0,0)
(1.87823,2.71301) (0,0); (1.93344,2.72808) (0,0); (1.99894,2.73017) (0,0); (2.04414,2.7183) (0,0)
(2.06603,2.70682) (0,0); (2.10339,2.67587) (0,0); (2.14337,2.61637) (0,0); (2.1673,2.55612) (0,0)
(2.1773,2.51881) (0,0); (2.19126,2.43891) (0,0); (2.19884,2.31622) (0,0); (2.19652,2.20804) (0,0)
(2.19213,2.14587) (0,0); (2.17821,2.02004) (0,0); (2.14818,1.84092) (0,0); (2.11609,1.69218) (0,0)
(2.09563,1.61002) (0,0); (2.05107,1.44885) (0,0); (1.9806,1.23116) (0,0); (1.91714,1.05864) (0,0)
(1.87946,0.968892) (0,0); (1.80392,0.792679) (0,0); (1.68997,0.582596) (0,0); (1.59084,0.436775) (0,0)
(1.54641,0.406566) (0,0); (1.50938,0.342097) (0,0); (1.46817,0.241685) (0,0); (1.44202,0.152233) (0,0)
(1.42823,0.104033) (0,0); (1.40472,0.00770733) (0,0); (1.37558,-0.124375) (0,0); (1.35443,-0.230519) (0,0)
(0.492995,0.602322) (0,0); (0.452293,0.644313) (0,0); (0.41347,0.70295) (0,0); (0.394661,0.750842) (0,0)
(0.389495,0.777556) (0,0); (0.385442,0.830965) (0,0); (0.40172,0.904051) (0,0); (0.430726,0.962674) (0,0)
(0.482071,1.01186) (0,0); (0.583406,1.16264) (0,0); (0.708069,1.36777) (0,0); (0.79783,1.53143) (0,0)
(0.848425,1.61839) (0,0); (0.942248,1.78434) (0,0); (1.06816,2.0014) (0,0); (1.16734,2.16818) (0,0)
(1.22119,2.25636) (0,0); (1.32413,2.42144) (0,0); (1.46131,2.63271) (0,0); (1.56865,2.79147) (0,0)
(1.62625,2.87398) (0,0); (1.73552,3.02589) (0,0); (1.87858,3.21445) (0,0); (1.98861,3.35157) (0,0)
(2.04682,3.42089) (0,0); (2.15584,3.5451) (0,0); (2.29543,3.69135) (0,0); (2.40036,3.79135) (0,0)
(2.45492,3.83922) (0,0); (2.55538,3.91996) (0,0); (2.68026,4.0036) (0,0); (2.77123,4.05106) (0,0)
(2.81735,4.06951) (0,0); (2.90015,4.09212) (0,0); (2.99841,4.09525) (0,0); (3.06621,4.07745) (0,0)
(3.09904,4.06022) (0,0); (3.15508,4.0138) (0,0); (3.21506,3.92456) (0,0); (3.25095,3.83417) (0,0)
(3.26596,3.77822) (0,0); (3.28689,3.65837) (0,0); (3.29827,3.47433) (0,0); (3.29478,3.31205) (0,0)
(3.28819,3.21881) (0,0); (3.26731,3.03006) (0,0); (3.22228,2.76138) (0,0); (3.17413,2.53826) (0,0)
(3.14345,2.41503) (0,0); (3.0766,2.17327) (0,0); (2.9709,1.84674) (0,0); (2.87571,1.58796) (0,0)
(2.8192,1.45334) (0,0); (2.70589,1.18902) (0,0); (2.53496,0.873895) (0,0); (2.38626,0.655163) (0,0)
(2.31961,0.609849) (0,0); (2.26407,0.513146) (0,0); (2.20225,0.362528) (0,0); (2.16304,0.228349) (0,0)
(2.14234,0.156049) (0,0); (2.10708,0.011561) (0,0); (2.06338,-0.186563) (0,0); (2.03164,-0.345778) (0,0)
(0.821658,1.00387) (0,0); (0.753822,1.07386) (0,0); (0.689117,1.17158) (0,0); (0.657769,1.2514) (0,0)
(0.649158,1.29593) (0,0); (0.642404,1.38494) (0,0); (0.669534,1.50675) (0,0); (0.717876,1.60446) (0,0)
(0.803452,1.68643) (0,0); (0.972343,1.93774) (0,0); (1.18011,2.27962) (0,0); (1.32972,2.55238) (0,0)
(1.41404,2.69732) (0,0); (1.57041,2.9739) (0,0); (1.78026,3.33566) (0,0); (1.94556,3.61363) (0,0)
(2.03531,3.76059) (0,0); (2.20688,4.03573) (0,0); (2.43552,4.38784) (0,0); (2.61442,4.65245) (0,0)
(2.71042,4.78996) (0,0); (2.89253,5.04315) (0,0); (3.13096,5.35742) (0,0); (3.31434,5.58595) (0,0)
