(0.019766,0.0763497) (0,0); (0.00655019,0.0798832) (0,0); (-0.0108855,0.0834466) (0,0); (-0.0243968,0.0853754) (0,0)
(-0.031535,0.0860753) (0,0); (-0.0449279,0.0868096) (0,0); (-0.0619841,0.0865266) (0,0); (-0.0747366,0.0853586) (0,0)
(-0.0813112,0.084383) (0,0); (-0.0933372,0.0818979) (0,0); (-0.108056,0.0773721) (0,0); (-0.118592,0.0729197) (0,0)
(-0.123855,0.0702111) (0,0); (-0.133151,0.0644779) (0,0); (-0.143878,0.0558234) (0,0); (-0.151025,0.0482901) (0,0)
(-0.154396,0.043995) (0,0); (-0.159946,0.0353643) (0,0); (-0.16553,0.0231674) (0,0); (-0.16854,0.0131014) (0,0)
(-0.169671,0.00753961) (0,0); (-0.170921,-0.00332781) (0,0); (-0.170831,-0.0181198) (0,0); (-0.169442,-0.029927) (0,0)
(-0.168246,-0.0363192) (0,0); (-0.165128,-0.0485719) (0,0); (-0.159438,-0.0648083) (0,0); (-0.153834,-0.0774443) (0,0)
(-0.150446,-0.0841634) (0,0); (-0.143264,-0.0968689) (0,0); (-0.132498,-0.113213) (0,0); (-0.123176,-0.12556) (0,0)
(-0.117966,-0.131889) (0,0); (-0.107443,-0.143898) (0,0); (-0.0927629,-0.159119) (0,0); (-0.0807825,-0.170443) (0,0)
(-0.0742158,-0.176261) (0,0); (-0.0614598,-0.186874) (0,0); (-0.0442442,-0.199914) (0,0); (-0.0306102,-0.209289) (0,0)
(-0.0232625,-0.214028) (0,0); (-0.00924832,-0.22247) (0,0); (0.00921362,-0.232497) (0,0); (0.0234996,-0.239425) (0,0)
(0.0310927,-0.242827) (0,0); (0.0453678,-0.248683) (0,0); (0.0638258,-0.255246) (0,0); (0.077845,-0.25945) (0,0)
(0.0852192,-0.261392) (0,0); (0.0989217,-0.26448) (0,0); (0.116388,-0.267432) (0,0); (0.129459,-0.268869) (0,0)
(0.136282,-0.269355) (0,0); (0.148844,-0.269724) (0,0); (0.164689,-0.269216) (0,0); (0.176416,-0.268068) (0,0)
(0.182508,-0.267214) (0,0); (0.193647,-0.265125) (0,0); (0.207608,-0.261564) (0,0); (0.217869,-0.258194) (0,0)
(0.223188,-0.256206) (0,0); (0.232879,-0.25208) (0,0); (0.245,-0.24606) (0,0); (0.25389,-0.240958) (0,0)
(0.258502,-0.238107) (0,0); (0.266904,-0.232468) (0,0); (0.277439,-0.224699) (0,0); (0.285187,-0.218427) (0,0)
(0.28922,-0.215016) (0,0); (0.296589,-0.20844) (0,0); (0.30588,-0.199677) (0,0); (0.312753,-0.192818) (0,0)
(0.316345,-0.189154) (0,0); (0.322936,-0.18222) (0,0); (0.331288,-0.173202) (0,0); (0.3375,-0.166313) (0,0)
(0.34075,-0.162685) (0,0); (0.346732,-0.155926) (0,0); (0.354306,-0.14732) (0,0); (0.359934,-0.140887) (0,0)
(0.362862,-0.137545) (0,0); (0.368239,-0.131409) (0,0); (0.374955,-0.12376) (0,0); (0.379873,-0.118171) (0,0)
(0.382387,-0.115312) (0,0); (0.386934,-0.110146) (0,0); (0.392402,-0.103879) (0,0); (0.396236,-0.0994362) (0,0)
(0.398112,-0.0972197) (0,0); (0.401355,-0.0933171) (0,0); (0.404901,-0.0888304) (0,0); (0.407092,-0.0858554) (0,0)
(0.408054,-0.084435) (0,0); (0.409449,-0.0821964) (0,0); (0.4106,-0.079848) (0,0); (0.410968,-0.0784867) (0,0)
(0.411065,-0.0775677) (0,0); (0.410408,-0.0768277) (0,0); (0.408214,-0.0764875) (0,0); (0.405508,-0.0767061) (0,0)
(0.403746,-0.0769065) (0,0); (0.399802,-0.0775763) (0,0); (0.393376,-0.0789369) (0,0); (0.387467,-0.0803527) (0,0)
(0.383945,-0.0812339) (0,0); (0.376652,-0.0831373) (0,0); (0.36571,-0.0860365) (0,0); (0.356231,-0.0885774) (0,0)
(0.350775,-0.0900155) (0,0); (0.339789,-0.0929034) (0,0); (0.323975,-0.0969086) (0,0); (0.310721,-0.10016) (0,0)
(0.303265,-0.101917) (0,0); (0.288521,-0.105301) (0,0); (0.267892,-0.10973) (0,0); (0.251014,-0.113134) (0,0)
(0.241676,-0.114908) (0,0); (0.223467,-0.118206) (0,0); (0.198536,-0.12229) (0,0); (0.178529,-0.12525) (0,0)
(0.167604,-0.126726) (0,0); (0.146549,-0.129345) (0,0); (0.118233,-0.132321) (0,0); (0.0958834,-0.134263) (0,0)
(0.0838171,-0.135141) (0,0); (0.0608041,-0.136528) (0,0); (0.0303477,-0.137709) (0,0); (0.00667414,-0.138131) (0,0)
(0.283356,-0.0164339) (0,0); (0.288007,0.0314838) (0,0); (0.293702,0.0925574) (0,0); (0.297779,0.138259) (0,0)
(0.299998,0.162142) (0,0); (0.304101,0.206146) (0,0); (0.309865,0.261723) (0,0); (0.314597,0.302912) (0,0)
(0.317367,0.324307) (0,0); (0.322899,0.363465) (0,0); (0.331231,0.412455) (0,0); (0.338473,0.448393) (0,0)
(0.342749,0.466941) (0,0); (0.351449,0.500643) (0,0); (0.364485,0.542376) (0,0); (0.375766,0.572648) (0,0)
(0.382317,0.588164) (0,0); (0.395552,0.616125) (0,0); (0.414887,0.650368) (0,0); (0.431292,0.674899) (0,0)
(0.440636,0.687387) (0,0); (0.459277,0.709687) (0,0); (0.485802,0.736716) (0,0); (0.507819,0.755848) (0,0)
(0.520122,0.765533) (0,0); (0.544345,0.78271) (0,0); (0.577856,0.80336) (0,0); (0.605002,0.817838) (0,0)
(0.619902,0.825052) (0,0); (0.648564,0.83792) (0,0); (0.687241,0.852519) (0,0); (0.717867,0.862031) (0,0)
(0.735083,0.865827) (0,0); (0.766909,0.873778) (0,0); (0.809371,0.883338) (0,0); (0.842635,0.890041) (0,0)
(0.860546,0.893161) (0,0); (0.894458,0.898423) (0,0); (0.938637,0.904063) (0,0); (0.972447,0.907446) (0,0)
(0.990231,0.908978) (0,0); (1.02338,0.91129) (0,0); (1.06549,0.913454) (0,0); (1.0969,0.914458) (0,0)
(1.11315,0.914826) (0,0); (1.14292,0.91514) (0,0); (1.17971,0.915009) (0,0); (1.20636,0.914493) (0,0)
(1.21985,0.914117) (0,0); (1.24398,0.913177) (0,0); (1.27263,0.911638) (0,0); (1.29242,0.910219) (0,0)
(1.30207,0.909417) (0,0); (1.31861,0.907784) (0,0); (1.33672,0.905538) (0,0); (1.34795,0.903729) (0,0)
(1.35291,0.902769) (0,0); (1.36037,0.90094) (0,0); (1.36627,0.898622) (0,0); (1.36786,0.896899) (0,0)
(1.36764,0.89603) (0,0); (1.36524,0.894464) (0,0); (1.35822,0.892647) (0,0); (1.34988,0.891429) (0,0)
(1.34441,0.890865) (0,0); (1.33219,0.889947) (0,0); (1.31267,0.889086) (0,0); (1.29495,0.888686) (0,0)
(1.28463,0.888576) (0,0); (1.26351,0.888557) (0,0); (1.23296,0.888913) (0,0); (1.20724,0.889477) (0,0)
(1.19288,0.889878) (0,0); (1.1645,0.890826) (0,0); (1.12532,0.8924) (0,0); (1.09363,0.893864) (0,0)
(1.07633,0.894714) (0,0); (1.04291,0.896468) (0,0); (0.998105,0.898946) (0,0); (0.962841,0.900989) (0,0)
(0.943905,0.902083) (0,0); (0.907917,0.904205) (0,0); (0.860733,0.90688) (0,0); (0.824393,0.908859) (0,0)
(0.80514,0.909815) (0,0); (0.769048,0.911505) (0,0); (0.722653,0.913173) (0,0); (0.687626,0.91404) (0,0)
(0.669319,0.914258) (0,0); (0.635461,0.914293) (0,0); (0.592906,0.91327) (0,0); (0.561531,0.911666) (0,0)
(0.545367,0.910493) (0,0); (0.516222,0.907559) (0,0); (0.480369,0.902814) (0,0); (0.454554,0.898473) (0,0)
(0.440723,0.896301) (0,0); (0.417323,0.890217) (0,0); (0.389207,0.879838) (0,0); (0.369508,0.870012) (0,0)
(0.359559,0.864269) (0,0); (0.342157,0.852382) (0,0); (0.321899,0.834674) (0,0); (0.308248,0.819418) (0,0)
